B001_dosztanyi_anchor.out	ANCHOR
B002_dosztanyi_iupred2al_binding.out	IUPred2A-long
B003_dosztanyi_iupred2as_binding.out	IUPred2A-short
B004_gsponer_mcl.out	MoRFchibi-light
B005_gsponer_mcw.out	*MoRFchibi-web
B007_kurgan_disordpbind_all.out	DisoRDPbind
B008_kurgan_disordpbind_rna.out	DisoRDPbind-RNA
B009_kurgan_disordpbind_dna.out	DisoRDPbind-DNA
B010_kurgan_disordpbind_protein.out	DisoRDPbind-protein
B011_kurgan_fmorfpred.out	fMoRFpred
B012_sharma_opal.out	*OPAL
B013_jones_disopred3_binding.out	*DISOPRED-3.1
D001_callebaut_pyhca.out	PyHCA
D002_cheng_predisorder.out	Predisorder
D003_dosztanyi_iupred2al.out	IUPred2A-long
D004_dosztanyi_iupred2as.out	IUPred2A-short
D005_dosztanyi_iupredl.out	IUPred-long
D006_dosztanyi_iupreds.out	IUPred-short
D007_galzitskaya_foldunfold.out	FoldUnfold
D008_galzitskaya_isunstruct.out	IsUnstruct
D009_gibson_globplot.out	GlobPlot
D010_hoque_dispred2.out	*DisPredict-2
D011_jones_disopred3_disorder.out	*DISOPRED-3.1
D013_kurgan_fidp_log.out	fIDPln
D014_kurgan_fidp_nn.out	fIDPnn
D015_obradovic_vsl2.out	VSL2B
D016_russel_disembl_HL.out	DisEMBL-HL
D017_russel_disembl_465.out	DisEMBL-465
D018_tosatto_espritzd.out	ESpritz-D
D019_tosatto_espritzn.out	ESpritz-N
D020_tosatto_espritzx.out	ESpritz-X
D021_tosatto_mobidblite.out	MobiDB-lite
D022_vendruscolo_s2d1.out	*S2D-1
D023_vendruscolo_s2d2.out	*S2D-2
D024_vranken_disomine.out	DisoMine
D025_wallner_rawmsa.out	*RawMSA
D026_xu_aucpred.out	*AUCpreD
D027_xu_aucpred_no_profile.out	AUCpreD-np
D028_zhou_spot-disorder1.out	*SPOT-Disorder1
D029_zhou_spot-disorder2.out	*SPOT-Disorder2
D030_zhou_spot-disorder-single.out	SPOT-Disorder-Single
D031_esnouf_jronn.out	JRONN
D032_kurgan_dflpred.out	DFLpred
