,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
LIPNet,0,0.527,0.259,0.367,0.411,0.467,0.486,0.296,0.461,0.053,0.05,0.047,0.704,0.343,0.539,0.514,0.5
LIPNet,1,0.525,0.256,0.364,0.408,0.465,0.488,0.295,0.461,0.051,0.047,0.044,0.705,0.339,0.539,0.512,0.5
LIPNet,2,0.526,0.255,0.361,0.406,0.463,0.488,0.291,0.46,0.052,0.049,0.045,0.709,0.336,0.54,0.512,0.5
LIPNet,3,0.524,0.253,0.359,0.404,0.46,0.492,0.294,0.461,0.047,0.044,0.041,0.706,0.335,0.539,0.508,0.5
LIPNet,4,0.526,0.258,0.367,0.411,0.466,0.488,0.297,0.46,0.052,0.048,0.046,0.703,0.343,0.54,0.512,0.5
LIPNet,5,0.526,0.257,0.365,0.409,0.465,0.488,0.295,0.459,0.053,0.049,0.046,0.705,0.341,0.541,0.512,0.5
LIPNet,6,0.53,0.262,0.37,0.414,0.471,0.481,0.294,0.46,0.059,0.055,0.051,0.706,0.345,0.54,0.519,0.5
LIPNet,7,0.524,0.255,0.363,0.407,0.462,0.492,0.297,0.459,0.049,0.046,0.042,0.703,0.339,0.541,0.508,0.5
LIPNet,8,0.527,0.256,0.362,0.407,0.466,0.485,0.291,0.462,0.053,0.05,0.046,0.709,0.337,0.538,0.515,0.5
LIPNet,9,0.529,0.262,0.371,0.415,0.471,0.483,0.295,0.458,0.059,0.055,0.052,0.705,0.347,0.542,0.517,0.5
LIPNet,10,0.529,0.259,0.368,0.412,0.466,0.488,0.294,0.455,0.057,0.053,0.05,0.706,0.344,0.545,0.512,0.5
LIPNet,11,0.528,0.257,0.364,0.409,0.465,0.488,0.293,0.457,0.055,0.051,0.047,0.707,0.34,0.543,0.512,0.5
LIPNet,12,0.526,0.259,0.367,0.411,0.466,0.488,0.297,0.459,0.053,0.049,0.046,0.703,0.343,0.541,0.512,0.5
LIPNet,13,0.528,0.257,0.365,0.409,0.466,0.486,0.292,0.458,0.056,0.052,0.048,0.708,0.34,0.542,0.514,0.5
LIPNet,14,0.524,0.256,0.363,0.407,0.463,0.49,0.298,0.463,0.047,0.045,0.041,0.702,0.339,0.537,0.51,0.5
