,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
LIPNet,0,0.498,0.317,0.368,0.482,0.698,0.005,0.685,0.999,-0.004,-0.038,-0.367,0.315,0.318,0.001,0.995,0.014
LIPNet,1,0.499,0.315,0.365,0.479,0.695,0.004,0.624,0.999,-0.003,-0.03,-0.309,0.376,0.315,0.001,0.996,0.014
LIPNet,2,0.498,0.311,0.362,0.475,0.692,0.004,0.625,0.999,-0.003,-0.031,-0.313,0.375,0.312,0.001,0.996,0.014
LIPNet,3,0.498,0.312,0.363,0.476,0.693,0.004,0.621,0.999,-0.003,-0.031,-0.308,0.379,0.313,0.001,0.996,0.014
LIPNet,4,0.499,0.318,0.368,0.482,0.698,0.004,0.598,0.999,-0.003,-0.028,-0.28,0.402,0.318,0.001,0.996,0.014
LIPNet,5,0.498,0.316,0.366,0.48,0.696,0.005,0.657,0.999,-0.004,-0.037,-0.341,0.343,0.316,0.001,0.995,0.014
LIPNet,6,0.498,0.317,0.368,0.482,0.698,0.005,0.624,0.999,-0.004,-0.032,-0.306,0.376,0.318,0.001,0.995,0.014
LIPNet,7,0.498,0.316,0.366,0.48,0.696,0.005,0.679,0.999,-0.004,-0.038,-0.363,0.321,0.316,0.001,0.995,0.014
LIPNet,8,0.498,0.312,0.362,0.475,0.692,0.004,0.684,0.999,-0.003,-0.036,-0.372,0.316,0.312,0.001,0.996,0.014
LIPNet,9,0.498,0.318,0.369,0.483,0.699,0.005,0.686,0.999,-0.004,-0.036,-0.367,0.314,0.319,0.001,0.995,0.014
LIPNet,10,0.498,0.317,0.367,0.481,0.697,0.004,0.614,0.999,-0.003,-0.031,-0.297,0.386,0.317,0.001,0.996,0.014
LIPNet,11,0.498,0.314,0.365,0.479,0.695,0.004,0.602,0.999,-0.003,-0.03,-0.287,0.398,0.315,0.001,0.996,0.014
LIPNet,12,0.499,0.318,0.369,0.483,0.699,0.004,0.638,0.999,-0.003,-0.031,-0.319,0.362,0.319,0.001,0.996,0.014
LIPNet,13,0.498,0.313,0.364,0.477,0.694,0.005,0.669,0.999,-0.004,-0.038,-0.355,0.331,0.314,0.001,0.995,0.014
LIPNet,14,0.498,0.316,0.366,0.48,0.696,0.005,0.679,0.999,-0.004,-0.038,-0.363,0.321,0.316,0.001,0.995,0.014
LIPNet,15,0.499,0.316,0.366,0.48,0.696,0.004,0.633,0.999,-0.003,-0.03,-0.317,0.367,0.316,0.001,0.996,0.014
