,,lo,hi,thr
LIPNet,bac,0.5267194884153058,0.5273805115846942,0.5
LIPNet,csi,0.25732749633557217,0.2580725036644279,0.5
LIPNet,f05,0.3651216654564515,0.36609833454354845,0.5
LIPNet,f1s,0.4093417828914774,0.4102782171085225,0.5
LIPNet,f2s,0.4655203645079607,0.4664996354920394,0.5
LIPNet,fnr,0.48648032378677747,0.48759967621322237,0.5
LIPNet,fom,0.2937700180086772,0.2945899819913229,0.5
LIPNet,fpr,0.4584495179794743,0.45921048202052583,0.5
LIPNet,inf,0.053469485274176894,0.054790514725823115,0.5
LIPNet,mcc,0.04983171277812712,0.05104828722187291,0.5
LIPNet,mk,0.04644155690027707,0.04761844309972292,0.5
LIPNet,npv,0.7054100180086771,0.7062299819913227,0.5
LIPNet,ppv,0.3407197153282168,0.3417002846717833,0.5
LIPNet,tnr,0.5407895179794742,0.5415504820205257,0.5
LIPNet,tpr,0.5124003237867777,0.5135196762132225,0.5
AlphaFold-rsa,bac,0.8934839359355656,0.8939560640644341,0.5
AlphaFold-rsa,csi,0.7424773777428213,0.7434426222571786,0.5
AlphaFold-rsa,f05,0.8471872259611388,0.847952774038861,0.5
AlphaFold-rsa,f1s,0.8520403179936806,0.8526796820063192,0.5
AlphaFold-rsa,f2s,0.8572717360737041,0.8579482639262954,0.5
AlphaFold-rsa,fnr,0.13863115163123294,0.1393888483687671,0.5
AlphaFold-rsa,fom,0.06476479486475437,0.06515520513524567,0.5
AlphaFold-rsa,fpr,0.07338109300461075,0.07383890699538924,0.5
AlphaFold-rsa,inf,0.786909170527419,0.7878508294725813,0.5
AlphaFold-rsa,mcc,0.7827897650824049,0.7837102349175955,0.5
AlphaFold-rsa,mk,0.7787400722706265,0.7797199277293735,0.5
AlphaFold-rsa,npv,0.9348447948647546,0.9352352051352458,0.5
AlphaFold-rsa,ppv,0.8437543331710258,0.8446256668289738,0.5
AlphaFold-rsa,tnr,0.926161093004611,0.9266189069953895,0.5
AlphaFold-rsa,tpr,0.8606111516312329,0.8613688483687671,0.5
AIUPred,bac,0.8185144868652662,0.8191255131347334,0.5
AIUPred,csi,0.5868739555345569,0.5879260444654429,0.5
AIUPred,f05,0.6964118866537208,0.6974281133462787,0.5
AIUPred,f1s,0.7395868179700418,0.7404531820299587,0.5
AIUPred,f2s,0.7883873026375158,0.7892326973624845,0.5
AIUPred,fnr,0.1744670030536258,0.17543299694637413,0.5
AIUPred,fom,0.09029097616643904,0.09080902383356092,0.5
AIUPred,fpr,0.18696207713014315,0.1875579228698568,0.5
AIUPred,inf,0.6371942777180928,0.6383857222819072,0.5
AIUPred,mcc,0.6078197758409971,0.6090002241590029,0.5
AIUPred,mk,0.5797337423938208,0.5809462576061791,0.5
AIUPred,npv,0.9091909761664392,0.909709023833561,0.5
AIUPred,ppv,0.6703389324729924,0.6714410675270078,0.5
AIUPred,tnr,0.8124420771301432,0.8130379228698569,0.5
AIUPred,tpr,0.8245670030536257,0.8255329969463739,0.5
