,LIPNet,LIPNet,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred,AIUPred,AIUPred
,tn,fp,fn,tp,tn,fp,fn,tp,tn,fp,fn,tp
0.999,67828.0,10.0,31394.0,7.0,,,,,,,,
0.998,67803.0,35.0,31358.0,43.0,,,,,,,,
0.997,67764.0,74.0,31322.0,79.0,,,,,67752.0,0.0,31333.0,33.0
0.996,67715.0,123.0,31265.0,136.0,,,,,67752.0,0.0,31285.0,81.0
0.995,67667.0,171.0,31220.0,181.0,,,,,67752.0,0.0,31240.0,126.0
0.994,67609.0,229.0,31162.0,239.0,,,,,67752.0,0.0,31192.0,174.0
0.993,67552.0,286.0,31088.0,313.0,,,,,67752.0,0.0,31133.0,233.0
0.992,67497.0,341.0,31028.0,373.0,,,,,67752.0,0.0,31070.0,296.0
0.991,67455.0,383.0,30975.0,426.0,,,,,67752.0,0.0,31037.0,329.0
0.99,67405.0,433.0,30911.0,490.0,,,,,67752.0,0.0,31024.0,342.0
0.989,67336.0,502.0,30865.0,536.0,,,,,67752.0,0.0,30992.0,374.0
0.988,67279.0,559.0,30796.0,605.0,,,,,67752.0,0.0,30957.0,409.0
0.987,67225.0,613.0,30728.0,673.0,,,,,67752.0,0.0,30917.0,449.0
0.986,67174.0,664.0,30654.0,747.0,,,,,67752.0,0.0,30848.0,518.0
0.985,67118.0,720.0,30594.0,807.0,,,,,67752.0,0.0,30784.0,582.0
0.984,67053.0,785.0,30534.0,867.0,,,,,67752.0,0.0,30735.0,631.0
0.983,66987.0,851.0,30463.0,938.0,,,,,67752.0,0.0,30664.0,702.0
0.982,66917.0,921.0,30406.0,995.0,,,,,67752.0,0.0,30593.0,773.0
0.981,66858.0,980.0,30330.0,1071.0,,,,,67752.0,0.0,30503.0,863.0
0.98,66781.0,1057.0,30257.0,1144.0,,,,,67752.0,0.0,30412.0,954.0
0.979,66706.0,1132.0,30201.0,1200.0,,,,,67750.0,2.0,30307.0,1059.0
0.978,66646.0,1192.0,30128.0,1273.0,,,,,67747.0,5.0,30170.0,1196.0
0.977,66565.0,1273.0,30057.0,1344.0,,,,,67744.0,8.0,30073.0,1293.0
0.976,66488.0,1350.0,30005.0,1396.0,,,,,67740.0,12.0,29966.0,1400.0
0.975,66405.0,1433.0,29951.0,1450.0,,,,,67734.0,18.0,29882.0,1484.0
0.974,66355.0,1483.0,29885.0,1516.0,,,,,67728.0,24.0,29784.0,1582.0
0.973,66281.0,1557.0,29823.0,1578.0,,,,,67725.0,27.0,29683.0,1683.0
0.972,66209.0,1629.0,29756.0,1645.0,,,,,67722.0,30.0,29594.0,1772.0
0.971,66116.0,1722.0,29687.0,1714.0,67838.0,0.0,31400.0,1.0,67720.0,32.0,29503.0,1863.0
0.97,66022.0,1816.0,29651.0,1750.0,67838.0,0.0,31399.0,2.0,67720.0,32.0,29422.0,1944.0
0.969,65942.0,1896.0,29590.0,1811.0,67838.0,0.0,31398.0,3.0,67718.0,34.0,29321.0,2045.0
0.968,65866.0,1972.0,29527.0,1874.0,67838.0,0.0,31395.0,6.0,67715.0,37.0,29215.0,2151.0
0.967,65791.0,2047.0,29484.0,1917.0,,,,,67713.0,39.0,29118.0,2248.0
0.966,65718.0,2120.0,29430.0,1971.0,,,,,67712.0,40.0,29008.0,2358.0
0.965,65659.0,2179.0,29363.0,2038.0,,,,,67710.0,42.0,28905.0,2461.0
0.964,65583.0,2255.0,29307.0,2094.0,67838.0,0.0,31393.0,8.0,67707.0,45.0,28784.0,2582.0
0.963,65508.0,2330.0,29254.0,2147.0,67838.0,0.0,31391.0,10.0,67703.0,49.0,28684.0,2682.0
0.962,65431.0,2407.0,29193.0,2208.0,67838.0,0.0,31389.0,12.0,67702.0,50.0,28553.0,2813.0
0.961,65371.0,2467.0,29140.0,2261.0,67838.0,0.0,31380.0,21.0,67700.0,52.0,28413.0,2953.0
0.96,65291.0,2547.0,29090.0,2311.0,67838.0,0.0,31379.0,22.0,67699.0,53.0,28284.0,3082.0
0.959,65218.0,2620.0,29018.0,2383.0,67838.0,0.0,31373.0,28.0,67697.0,55.0,28147.0,3219.0
0.958,65134.0,2704.0,28966.0,2435.0,67838.0,0.0,31370.0,31.0,67695.0,57.0,28026.0,3340.0
0.957,65057.0,2781.0,28918.0,2483.0,67838.0,0.0,31366.0,35.0,67694.0,58.0,27914.0,3452.0
0.956,64977.0,2861.0,28852.0,2549.0,67838.0,0.0,31360.0,41.0,67694.0,58.0,27797.0,3569.0
0.955,64910.0,2928.0,28807.0,2594.0,67838.0,0.0,31355.0,46.0,67693.0,59.0,27674.0,3692.0
0.954,64813.0,3025.0,28761.0,2640.0,67838.0,0.0,31345.0,56.0,67691.0,61.0,27575.0,3791.0
0.953,64751.0,3087.0,28711.0,2690.0,67838.0,0.0,31334.0,67.0,67689.0,63.0,27444.0,3922.0
0.952,64671.0,3167.0,28659.0,2742.0,67838.0,0.0,31318.0,83.0,67687.0,65.0,27322.0,4044.0
0.951,64599.0,3239.0,28603.0,2798.0,67838.0,0.0,31309.0,92.0,67685.0,67.0,27209.0,4157.0
0.95,64531.0,3307.0,28548.0,2853.0,67838.0,0.0,31290.0,111.0,67685.0,67.0,27085.0,4281.0
0.949,64438.0,3400.0,28499.0,2902.0,67838.0,0.0,31280.0,121.0,67682.0,70.0,26953.0,4413.0
0.948,64368.0,3470.0,28464.0,2937.0,67838.0,0.0,31260.0,141.0,67681.0,71.0,26826.0,4540.0
0.947,64293.0,3545.0,28414.0,2987.0,67838.0,0.0,31239.0,162.0,67679.0,73.0,26686.0,4680.0
0.946,64216.0,3622.0,28357.0,3044.0,67838.0,0.0,31222.0,179.0,67678.0,74.0,26530.0,4836.0
0.945,64151.0,3687.0,28302.0,3099.0,67838.0,0.0,31205.0,196.0,67678.0,74.0,26412.0,4954.0
0.944,64080.0,3758.0,28258.0,3143.0,67838.0,0.0,31188.0,213.0,67675.0,77.0,26284.0,5082.0
0.943,64020.0,3818.0,28201.0,3200.0,67838.0,0.0,31158.0,243.0,67675.0,77.0,26155.0,5211.0
0.942,63945.0,3893.0,28154.0,3247.0,67838.0,0.0,31137.0,264.0,67674.0,78.0,26031.0,5335.0
0.941,63888.0,3950.0,28112.0,3289.0,67838.0,0.0,31108.0,293.0,67674.0,78.0,25916.0,5450.0
0.94,63822.0,4016.0,28067.0,3334.0,67838.0,0.0,31076.0,325.0,67673.0,79.0,25780.0,5586.0
0.939,63755.0,4083.0,28019.0,3382.0,67838.0,0.0,31048.0,353.0,67671.0,81.0,25661.0,5705.0
0.938,63686.0,4152.0,27972.0,3429.0,67838.0,0.0,31016.0,385.0,67670.0,82.0,25524.0,5842.0
0.937,63627.0,4211.0,27925.0,3476.0,67838.0,0.0,30977.0,424.0,67670.0,82.0,25392.0,5974.0
0.936,63544.0,4294.0,27875.0,3526.0,67838.0,0.0,30948.0,453.0,67668.0,84.0,25248.0,6118.0
0.935,63460.0,4378.0,27824.0,3577.0,67838.0,0.0,30912.0,489.0,67667.0,85.0,25111.0,6255.0
0.934,63391.0,4447.0,27777.0,3624.0,67837.0,1.0,30857.0,544.0,67665.0,87.0,24970.0,6396.0
0.933,63321.0,4517.0,27728.0,3673.0,67837.0,1.0,30809.0,592.0,67663.0,89.0,24829.0,6537.0
0.932,63254.0,4584.0,27682.0,3719.0,67837.0,1.0,30754.0,647.0,67662.0,90.0,24696.0,6670.0
0.931,63180.0,4658.0,27643.0,3758.0,67836.0,2.0,30702.0,699.0,67660.0,92.0,24556.0,6810.0
0.93,63112.0,4726.0,27594.0,3807.0,67835.0,3.0,30651.0,750.0,67659.0,93.0,24430.0,6936.0
0.929,63034.0,4804.0,27560.0,3841.0,67834.0,4.0,30587.0,814.0,67658.0,94.0,24289.0,7077.0
0.928,62944.0,4894.0,27515.0,3886.0,67834.0,4.0,30529.0,872.0,67656.0,96.0,24156.0,7210.0
0.927,62881.0,4957.0,27473.0,3928.0,67833.0,5.0,30440.0,961.0,67655.0,97.0,24005.0,7361.0
0.926,62805.0,5033.0,27417.0,3984.0,67832.0,6.0,30381.0,1020.0,67652.0,100.0,23874.0,7492.0
0.925,62724.0,5114.0,27389.0,4012.0,67832.0,6.0,30290.0,1111.0,67648.0,104.0,23744.0,7622.0
0.924,62648.0,5190.0,27340.0,4061.0,67830.0,8.0,30193.0,1208.0,67646.0,106.0,23613.0,7753.0
0.923,62596.0,5242.0,27295.0,4106.0,67827.0,11.0,30091.0,1310.0,67644.0,108.0,23466.0,7900.0
0.922,62519.0,5319.0,27251.0,4150.0,67825.0,13.0,29996.0,1405.0,67641.0,111.0,23339.0,8027.0
0.921,62463.0,5375.0,27217.0,4184.0,67823.0,15.0,29910.0,1491.0,67638.0,114.0,23210.0,8156.0
0.92,62388.0,5450.0,27171.0,4230.0,67819.0,19.0,29809.0,1592.0,67633.0,119.0,23088.0,8278.0
0.919,62312.0,5526.0,27120.0,4281.0,67817.0,21.0,29718.0,1683.0,67630.0,122.0,22951.0,8415.0
0.918,62244.0,5594.0,27079.0,4322.0,67815.0,23.0,29595.0,1806.0,67627.0,125.0,22832.0,8534.0
0.917,62172.0,5666.0,27025.0,4376.0,67812.0,26.0,29481.0,1920.0,67625.0,127.0,22727.0,8639.0
0.916,62096.0,5742.0,26991.0,4410.0,67810.0,28.0,29380.0,2021.0,67624.0,128.0,22612.0,8754.0
0.915,62029.0,5809.0,26942.0,4459.0,67810.0,28.0,29268.0,2133.0,67621.0,131.0,22494.0,8872.0
0.914,61967.0,5871.0,26901.0,4500.0,67808.0,30.0,29135.0,2266.0,67616.0,136.0,22353.0,9013.0
0.913,61886.0,5952.0,26856.0,4545.0,67802.0,36.0,28990.0,2411.0,67614.0,138.0,22227.0,9139.0
0.912,61815.0,6023.0,26805.0,4596.0,67796.0,42.0,28874.0,2527.0,67609.0,143.0,22123.0,9243.0
0.911,61745.0,6093.0,26767.0,4634.0,67791.0,47.0,28740.0,2661.0,67608.0,144.0,22015.0,9351.0
0.91,61673.0,6165.0,26728.0,4673.0,67789.0,49.0,28589.0,2812.0,67604.0,148.0,21908.0,9458.0
0.909,61610.0,6228.0,26685.0,4716.0,67784.0,54.0,28433.0,2968.0,67601.0,151.0,21790.0,9576.0
0.908,61520.0,6318.0,26647.0,4754.0,67774.0,64.0,28287.0,3114.0,67600.0,152.0,21661.0,9705.0
0.907,61467.0,6371.0,26605.0,4796.0,67766.0,72.0,28138.0,3263.0,67598.0,154.0,21545.0,9821.0
0.906,61389.0,6449.0,26569.0,4832.0,67758.0,80.0,27980.0,3421.0,67597.0,155.0,21423.0,9943.0
0.905,61324.0,6514.0,26523.0,4878.0,67752.0,86.0,27810.0,3591.0,67593.0,159.0,21310.0,10056.0
0.904,61231.0,6607.0,26466.0,4935.0,67747.0,91.0,27648.0,3753.0,67590.0,162.0,21206.0,10160.0
0.903,61164.0,6674.0,26407.0,4994.0,67741.0,97.0,27494.0,3907.0,67587.0,165.0,21095.0,10271.0
0.902,61114.0,6724.0,26369.0,5032.0,67736.0,102.0,27336.0,4065.0,67586.0,166.0,20987.0,10379.0
0.901,61055.0,6783.0,26325.0,5076.0,67726.0,112.0,27169.0,4232.0,67583.0,169.0,20893.0,10473.0
0.9,60980.0,6858.0,26296.0,5105.0,67722.0,116.0,27005.0,4396.0,67577.0,175.0,20770.0,10596.0
0.899,60910.0,6928.0,26257.0,5144.0,67719.0,119.0,26819.0,4582.0,67574.0,178.0,20665.0,10701.0
0.898,60850.0,6988.0,26208.0,5193.0,67716.0,122.0,26645.0,4756.0,67573.0,179.0,20576.0,10790.0
0.897,60797.0,7041.0,26171.0,5230.0,67714.0,124.0,26480.0,4921.0,67570.0,182.0,20481.0,10885.0
