predictor,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred
auc,0.363,0.363,0.921,0.921,0.86,0.86
aps,0.363,0.363,0.921,0.921,0.859,0.859
metric,tpr,ppv,tpr,ppv,tpr,ppv
1.999,0.0,1.0,,,,
1.997,,,,,0.0,1.0
1.971,,,0.0,1.0,,
0.999,0.0,0.412,,,,
0.998,0.001,0.551,,,,
0.997,0.003,0.516,,,0.001,1.0
0.996,0.004,0.525,,,0.003,1.0
0.995,0.006,0.514,,,0.004,1.0
0.994,0.008,0.511,,,0.006,1.0
0.993,0.01,0.523,,,0.007,1.0
0.992,0.012,0.522,,,0.009,1.0
0.991,0.014,0.527,,,0.01,1.0
0.99,0.016,0.531,,,0.011,1.0
0.989,0.017,0.516,,,0.012,1.0
0.988,0.019,0.52,,,0.013,1.0
0.987,0.021,0.523,,,0.014,1.0
0.986,0.024,0.529,,,0.017,1.0
0.985,0.026,0.528,,,0.019,1.0
0.984,0.028,0.525,,,0.02,1.0
0.983,0.03,0.524,,,0.022,1.0
0.982,0.032,0.519,,,0.025,1.0
0.981,0.034,0.522,,,0.028,1.0
0.98,0.036,0.52,,,0.03,1.0
0.979,0.038,0.515,,,0.034,0.998
0.978,0.041,0.516,,,0.038,0.996
0.977,0.043,0.514,,,0.041,0.994
0.976,0.044,0.508,,,0.045,0.992
0.975,0.046,0.503,,,0.047,0.988
0.974,0.048,0.506,,,0.05,0.985
0.973,0.05,0.503,,,0.054,0.984
0.972,0.052,0.502,,,0.056,0.983
0.971,0.055,0.499,0.0,1.0,0.059,0.983
0.97,0.056,0.491,0.0,1.0,0.062,0.984
0.969,0.058,0.489,0.0,1.0,0.065,0.984
0.968,0.06,0.487,0.0,1.0,0.069,0.983
0.967,0.061,0.484,,,0.072,0.983
0.966,0.063,0.482,,,0.075,0.983
0.965,0.065,0.483,,,0.078,0.983
0.964,0.067,0.481,0.0,1.0,0.082,0.983
0.963,0.068,0.48,0.0,1.0,0.086,0.982
0.962,0.07,0.478,0.0,1.0,0.09,0.983
0.961,0.072,0.478,0.001,1.0,0.094,0.983
0.96,0.074,0.476,0.001,1.0,0.098,0.983
0.959,0.076,0.476,0.001,1.0,0.103,0.983
0.958,0.078,0.474,0.001,1.0,0.106,0.983
0.957,0.079,0.472,0.001,1.0,0.11,0.983
0.956,0.081,0.471,0.001,1.0,0.114,0.984
0.955,0.083,0.47,0.001,1.0,0.118,0.984
0.954,0.084,0.466,0.002,1.0,0.121,0.984
0.953,0.086,0.466,0.002,1.0,0.125,0.984
0.952,0.087,0.464,0.003,1.0,0.129,0.984
0.951,0.089,0.463,0.003,1.0,0.133,0.984
0.95,0.091,0.463,0.004,1.0,0.136,0.985
0.949,0.092,0.46,0.004,1.0,0.141,0.984
0.948,0.094,0.458,0.004,1.0,0.145,0.985
0.947,0.095,0.457,0.005,1.0,0.149,0.985
0.946,0.097,0.457,0.006,1.0,0.154,0.985
0.945,0.099,0.457,0.006,1.0,0.158,0.985
0.944,0.1,0.455,0.007,1.0,0.162,0.985
0.943,0.102,0.456,0.008,1.0,0.166,0.985
0.942,0.103,0.455,0.008,1.0,0.17,0.986
0.941,0.105,0.454,0.009,1.0,0.174,0.986
