predictor,LIPNet,LIPNet,AlphaFold-rsa,AlphaFold-rsa,AIUPred,AIUPred
auc,0.526,0.526,0.95,0.95,0.899,0.899
metric,fpr,tpr,fpr,tpr,fpr,tpr
1.999,0.0,0.0,,,,
1.997,,,,,0.0,0.0
1.971,,,0.0,0.0,,
0.999,0.0,0.0,,,,
0.998,0.001,0.001,,,,
0.997,0.001,0.003,,,0.0,0.001
0.996,0.002,0.004,,,0.0,0.003
0.995,0.003,0.006,,,0.0,0.004
0.994,0.003,0.008,,,0.0,0.006
0.993,0.004,0.01,,,0.0,0.007
0.992,0.005,0.012,,,0.0,0.009
0.991,0.006,0.014,,,0.0,0.01
0.99,0.006,0.016,,,0.0,0.011
0.989,0.007,0.017,,,0.0,0.012
0.988,0.008,0.019,,,0.0,0.013
0.987,0.009,0.021,,,0.0,0.014
0.986,0.01,0.024,,,0.0,0.017
0.985,0.011,0.026,,,0.0,0.019
0.984,0.012,0.028,,,0.0,0.02
0.983,0.013,0.03,,,0.0,0.022
0.982,0.014,0.032,,,0.0,0.025
0.981,0.014,0.034,,,0.0,0.028
0.98,0.016,0.036,,,0.0,0.03
0.979,0.017,0.038,,,0.0,0.034
0.978,0.018,0.041,,,0.0,0.038
0.977,0.019,0.043,,,0.0,0.041
0.976,0.02,0.044,,,0.0,0.045
0.975,0.021,0.046,,,0.0,0.047
0.974,0.022,0.048,,,0.0,0.05
0.973,0.023,0.05,,,0.0,0.054
0.972,0.024,0.052,,,0.0,0.056
0.971,0.025,0.055,0.0,0.0,0.0,0.059
0.97,0.027,0.056,0.0,0.0,0.0,0.062
0.969,0.028,0.058,0.0,0.0,0.001,0.065
0.968,0.029,0.06,0.0,0.0,0.001,0.069
0.967,0.03,0.061,,,0.001,0.072
0.966,0.031,0.063,,,0.001,0.075
0.965,0.032,0.065,,,0.001,0.078
0.964,0.033,0.067,0.0,0.0,0.001,0.082
0.963,0.034,0.068,0.0,0.0,0.001,0.086
0.962,0.035,0.07,0.0,0.0,0.001,0.09
0.961,0.036,0.072,0.0,0.001,0.001,0.094
0.96,0.038,0.074,0.0,0.001,0.001,0.098
0.959,0.039,0.076,0.0,0.001,0.001,0.103
0.958,0.04,0.078,0.0,0.001,0.001,0.106
0.957,0.041,0.079,0.0,0.001,0.001,0.11
0.956,0.042,0.081,0.0,0.001,0.001,0.114
0.955,0.043,0.083,0.0,0.001,0.001,0.118
0.954,0.045,0.084,0.0,0.002,0.001,0.121
0.953,0.046,0.086,0.0,0.002,0.001,0.125
0.952,0.047,0.087,0.0,0.003,0.001,0.129
0.951,0.048,0.089,0.0,0.003,0.001,0.133
0.95,0.049,0.091,0.0,0.004,0.001,0.136
0.949,0.05,0.092,0.0,0.004,0.001,0.141
0.948,0.051,0.094,0.0,0.004,0.001,0.145
0.947,0.052,0.095,0.0,0.005,0.001,0.149
