,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
LIPNet,DP02732,0.5,0.377,0.431,0.548,0.752,0.0,1.0,1.0,0.0,0.0,-0.623,0.0,0.377,0.0,1.0,0.5
LIPNet,DP03745,0.605,0.34,0.392,0.507,0.72,0.0,0.0,0.791,0.209,0.267,0.34,1.0,0.34,0.209,1.0,0.5
LIPNet,DP03748,0.536,0.071,0.087,0.133,0.276,0.0,0.0,0.929,0.071,0.071,0.071,1.0,0.071,0.071,1.0,0.5
LIPNet,DP03749,0.608,0.071,0.093,0.133,0.231,0.545,0.031,0.239,0.216,0.101,0.047,0.969,0.078,0.761,0.455,0.5
LIPNet,DP03758,0.434,0.247,0.451,0.396,0.354,0.67,0.632,0.462,-0.132,-0.133,-0.136,0.368,0.496,0.538,0.33,0.5
LIPNet,DP03759,0.352,0.05,0.086,0.094,0.105,0.887,0.325,0.409,-0.296,-0.268,-0.244,0.675,0.081,0.591,0.113,0.5
LIPNet,DP03802,0.634,0.342,0.56,0.509,0.467,0.558,0.284,0.174,0.268,0.291,0.316,0.716,0.6,0.826,0.442,0.5
LIPNet,DP03803,0.38,0.0,0.0,0.0,0.0,1.0,0.079,0.241,-0.241,-0.138,-0.079,0.921,0.0,0.759,0.0,0.5
LIPNet,DP03804,0.321,0.185,0.435,0.313,0.244,0.787,0.876,0.571,-0.358,-0.321,-0.288,0.124,0.588,0.429,0.213,0.5
LIPNet,DP03806,0.986,0.986,0.997,0.993,0.989,0.014,1.0,,,0.0,0.0,0.0,1.0,,0.986,0.5
LIPNet,DP03810,0.813,0.06,0.074,0.113,0.242,0.0,0.0,0.375,0.625,0.193,0.06,1.0,0.06,0.625,1.0,0.5
LIPNet,DP03812,0.26,0.0,0.0,0.0,0.0,1.0,0.076,0.48,-0.48,-0.192,-0.076,0.924,0.0,0.52,0.0,0.5
LIPNet,DP03813,0.795,0.071,0.087,0.133,0.276,0.0,0.0,0.41,0.59,0.204,0.071,1.0,0.071,0.59,1.0,0.5
LIPNet,DP03814,0.687,0.107,0.13,0.193,0.375,0.0,0.0,0.626,0.374,0.2,0.107,1.0,0.107,0.374,1.0,0.5
LIPNet,DP03815,0.875,0.202,0.24,0.336,0.559,0.0,0.0,0.25,0.75,0.389,0.202,1.0,0.202,0.75,1.0,0.5
LIPNet,DP03818,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP03819,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP03824,0.544,0.194,0.309,0.325,0.343,0.644,0.219,0.267,0.089,0.084,0.08,0.781,0.299,0.733,0.356,0.5
LIPNet,DP03826,0.595,0.218,0.319,0.358,0.407,0.551,0.153,0.259,0.19,0.166,0.144,0.847,0.297,0.741,0.449,0.5
LIPNet,DP03888,0.25,0.074,0.096,0.138,0.244,0.5,1.0,1.0,-0.5,-0.678,-0.92,0.0,0.08,0.0,0.5,0.5
LIPNet,DP03897,0.816,0.273,0.319,0.429,0.652,0.0,0.0,0.368,0.632,0.415,0.273,1.0,0.273,0.632,1.0,0.5
LIPNet,DP03898,0.81,0.128,0.157,0.227,0.413,0.091,0.006,0.289,0.62,0.277,0.124,0.994,0.13,0.711,0.909,0.5
LIPNet,DP03909,0.817,0.159,0.194,0.275,0.471,0.1,0.008,0.266,0.634,0.313,0.154,0.992,0.162,0.734,0.9,0.5
LIPNet,DP03912,0.836,0.141,0.17,0.247,0.451,0.0,0.0,0.328,0.672,0.308,0.141,1.0,0.141,0.672,1.0,0.5
LIPNet,DP03913,0.703,0.137,0.166,0.241,0.443,0.0,0.0,0.595,0.405,0.236,0.137,1.0,0.137,0.405,1.0,0.5
LIPNet,DP03914,0.267,0.435,0.659,0.606,0.561,0.466,1.0,1.0,-0.466,-0.374,-0.3,0.0,0.7,0.0,0.534,0.5
LIPNet,DP03915,0.758,0.067,0.082,0.126,0.264,0.0,0.0,0.484,0.516,0.187,0.067,1.0,0.067,0.516,1.0,0.5
LIPNet,DP03916,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP03920,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP03921,0.5,0.148,0.178,0.258,0.465,0.0,1.0,1.0,0.0,0.0,-0.852,0.0,0.148,0.0,1.0,0.5
LIPNet,DP03923,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP03927,0.451,0.529,0.607,0.692,0.804,0.098,1.0,1.0,-0.098,-0.208,-0.439,0.0,0.561,0.0,0.902,0.5
LIPNet,DP03929,0.123,0.123,0.412,0.219,0.149,0.877,1.0,,,0.0,0.0,0.0,1.0,,0.123,0.5
LIPNet,DP03930,0.424,0.424,0.786,0.596,0.479,0.576,1.0,,,0.0,0.0,0.0,1.0,,0.424,0.5
LIPNet,DP03931,0.509,0.019,0.088,0.037,0.024,0.981,0.841,0.0,0.019,0.054,0.159,0.159,1.0,1.0,0.019,0.5
LIPNet,DP03933,0.082,0.079,0.152,0.146,0.14,0.864,0.976,0.972,-0.836,-0.827,-0.819,0.024,0.157,0.028,0.136,0.5
LIPNet,DP03934,0.226,0.219,0.364,0.359,0.354,0.649,0.904,0.898,-0.547,-0.542,-0.537,0.096,0.367,0.102,0.351,0.5
LIPNet,DP03935,0.21,0.21,0.571,0.347,0.249,0.79,1.0,,,0.0,0.0,0.0,1.0,,0.21,0.5
LIPNet,DP03937,0.484,0.484,0.824,0.652,0.54,0.516,1.0,,,0.0,0.0,0.0,1.0,,0.484,0.5
LIPNet,DP03938,0.632,0.632,0.896,0.775,0.682,0.368,1.0,,,0.0,0.0,0.0,1.0,,0.632,0.5
LIPNet,DP03939,0.479,0.104,0.14,0.188,0.289,0.55,0.138,0.493,-0.043,-0.029,-0.019,0.862,0.119,0.507,0.45,0.5
LIPNet,DP03940,0.758,0.226,0.269,0.369,0.585,0.039,0.01,0.445,0.516,0.336,0.218,0.99,0.228,0.555,0.961,0.5
LIPNet,DP03941,0.296,0.382,0.563,0.553,0.543,0.463,0.952,0.945,-0.408,-0.395,-0.382,0.048,0.57,0.055,0.537,0.5
LIPNet,DP03942,0.551,0.039,0.05,0.075,0.151,0.545,0.027,0.352,0.103,0.038,0.014,0.973,0.041,0.648,0.455,0.5
LIPNet,DP03943,0.44,0.0,0.0,0.0,0.0,1.0,0.027,0.12,-0.12,-0.057,-0.027,0.973,0.0,0.88,0.0,0.5
LIPNet,DP03947,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP03948,0.68,0.298,0.348,0.459,0.674,0.02,0.014,0.619,0.361,0.321,0.286,0.986,0.3,0.381,0.98,0.5
LIPNet,DP03950,0.346,0.045,0.065,0.087,0.131,0.803,0.198,0.505,-0.308,-0.209,-0.142,0.802,0.056,0.495,0.197,0.5
LIPNet,DP03951,0.789,0.429,0.486,0.601,0.786,0.01,0.005,0.412,0.578,0.496,0.426,0.995,0.431,0.588,0.99,0.5
LIPNet,DP03972,0.671,0.05,0.063,0.096,0.202,0.222,0.012,0.435,0.343,0.116,0.039,0.988,0.051,0.565,0.778,0.5
LIPNet,DP03973,0.262,0.0,0.0,0.0,0.0,1.0,0.048,0.476,-0.476,-0.151,-0.048,0.952,0.0,0.524,0.0,0.5
LIPNet,DP03974,0.456,0.108,0.152,0.195,0.269,0.638,0.181,0.45,-0.088,-0.065,-0.048,0.819,0.133,0.55,0.362,0.5
LIPNet,DP03978,0.279,0.0,0.0,0.0,0.0,1.0,0.034,0.442,-0.442,-0.123,-0.034,0.966,0.0,0.558,0.0,0.5
LIPNet,DP03979,0.329,0.329,0.71,0.495,0.38,0.671,1.0,,,0.0,0.0,0.0,1.0,,0.329,0.5
LIPNet,DP03980,0.381,0.381,0.755,0.552,0.435,0.619,1.0,,,0.0,0.0,0.0,1.0,,0.381,0.5
LIPNet,DP03982,0.529,0.529,0.849,0.692,0.584,0.471,1.0,,,0.0,0.0,0.0,1.0,,0.529,0.5
LIPNet,DP03984,0.927,0.927,0.984,0.962,0.941,0.073,1.0,,,0.0,0.0,0.0,1.0,,0.927,0.5
LIPNet,DP03985,0.931,0.461,0.517,0.631,0.81,0.0,0.0,0.138,0.862,0.63,0.461,1.0,0.461,0.862,1.0,0.5
LIPNet,DP03988,0.971,0.971,0.994,0.985,0.977,0.029,1.0,,,0.0,0.0,0.0,1.0,,0.971,0.5
LIPNet,DP03989,0.511,0.331,0.447,0.496,0.558,0.391,0.397,0.587,0.022,0.022,0.022,0.603,0.419,0.413,0.609,0.5
LIPNet,DP03990,0.834,0.524,0.599,0.688,0.809,0.084,0.036,0.248,0.668,0.586,0.515,0.964,0.551,0.752,0.916,0.5
LIPNet,DP03992,0.868,0.324,0.375,0.489,0.706,0.0,0.0,0.264,0.736,0.488,0.324,1.0,0.324,0.736,1.0,0.5
LIPNet,DP03993,0.57,0.094,0.121,0.172,0.296,0.429,0.06,0.431,0.14,0.076,0.041,0.94,0.101,0.569,0.571,0.5
LIPNet,DP03994,0.82,0.305,0.354,0.467,0.687,0.0,0.0,0.359,0.641,0.442,0.305,1.0,0.305,0.641,1.0,0.5
LIPNet,DP03995,0.816,0.25,0.297,0.4,0.615,0.042,0.007,0.325,0.633,0.394,0.246,0.993,0.253,0.675,0.958,0.5
LIPNet,DP03996,0.553,0.191,0.237,0.32,0.493,0.23,0.13,0.664,0.106,0.088,0.072,0.87,0.202,0.336,0.77,0.5
LIPNet,DP03997,0.617,0.219,0.333,0.359,0.389,0.588,0.127,0.179,0.233,0.211,0.191,0.873,0.318,0.821,0.412,0.5
LIPNet,DP03998,0.656,0.135,0.163,0.238,0.438,0.0,0.0,0.688,0.312,0.205,0.135,1.0,0.135,0.312,1.0,0.5
LIPNet,DP03999,0.786,0.438,0.493,0.609,0.796,0.0,0.0,0.429,0.571,0.5,0.438,1.0,0.438,0.571,1.0,0.5
LIPNet,DP04002,0.73,0.73,0.931,0.844,0.772,0.27,1.0,,,0.0,0.0,0.0,1.0,,0.73,0.5
LIPNet,DP04005,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04006,0.437,0.437,0.795,0.608,0.492,0.563,1.0,,,0.0,0.0,0.0,1.0,,0.437,0.5
LIPNet,DP04007,0.367,0.367,0.744,0.537,0.42,0.633,1.0,,,0.0,0.0,0.0,1.0,,0.367,0.5
LIPNet,DP04008,0.86,0.86,0.968,0.925,0.885,0.14,1.0,,,0.0,0.0,0.0,1.0,,0.86,0.5
LIPNet,DP04009,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04010,0.928,0.928,0.985,0.963,0.942,0.072,1.0,,,0.0,0.0,0.0,1.0,,0.928,0.5
LIPNet,DP04011,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04012,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04014,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04015,0.979,0.979,0.996,0.989,0.983,0.021,1.0,,,0.0,0.0,0.0,1.0,,0.979,0.5
LIPNet,DP04016,0.627,0.627,0.894,0.771,0.678,0.373,1.0,,,0.0,0.0,0.0,1.0,,0.627,0.5
LIPNet,DP04017,0.529,0.529,0.849,0.692,0.584,0.471,1.0,,,0.0,0.0,0.0,1.0,,0.529,0.5
LIPNet,DP04018,0.893,0.893,0.977,0.943,0.913,0.107,1.0,,,0.0,0.0,0.0,1.0,,0.893,0.5
LIPNet,DP04019,0.991,0.991,0.998,0.995,0.993,0.009,1.0,,,0.0,0.0,0.0,1.0,,0.991,0.5
